date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
1,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-02-1988,1988-02-01,1988,2,1
1,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-02-1988,1988-02-01,1988,2,1
1,6,0,0,0,,,0,,,,,Health,Health,01-02-1988,1988-02-01,1988,2,1
1,8,0,0,0,,,0,,,,,Communication,Communication,01-02-1988,1988-02-01,1988,2,1
1,7,0,0,0,,,0,,,,,Transport,Transport,01-02-1988,1988-02-01,1988,2,1
1,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-02-1988,1988-02-01,1988,2,1
1,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-02-1988,1988-02-01,1988,2,1
1,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-02-1988,1988-02-01,1988,2,1
1,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-02-1988,1988-02-01,1988,2,1
1,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-02-1988,1988-02-01,1988,2,1
1,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-02-1988,1988-02-01,1988,2,1
2,7,155,97,1067,.0476988,-.0262,1319,.11751327,.073540561,.80894619,.19105384,Transport,Transport,01-03-1988,1988-03-01,1988,3,1
2,12,135,97,1408,.06405779,-.071942464,1640,.082317077,.059146341,.8585366,.14146341,Miscellaneous goods and services,Misc,01-03-1988,1988-03-01,1988,3,1
2,2,438,211,2567,.027063638,-.026350498,3216,.13619404,.065609455,.79819649,.20180349,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-03-1988,1988-03-01,1988,3,1
2,3,569,228,4953,.11094178,-.10010015,5750,.098956525,.039652172,.86139131,.13860869,Clothing and footwear,Clothing and footwear,01-03-1988,1988-03-01,1988,3,1
2,5,566,216,3151,.075009376,-.067796551,3933,.1439105,.05491991,.80116957,.19883041,"Furnishings, household equipment and maintenance",Household,01-03-1988,1988-03-01,1988,3,1
2,4,106,51,1137,.054545488,-.057780951,1294,.081916541,.039412674,.87867081,.12132922,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-03-1988,1988-03-01,1988,3,1
2,1,1197,813,5523,.058823559,-.07692311,7533,.15890084,.10792513,.73317403,.26682597,Food and non-alcoholic beverages,Food & drink,01-03-1988,1988-03-01,1988,3,1
2,11,285,60,4052,.056338061,-.03933309,4397,.064816922,.013645668,.9215374,.078462586,Restaurants and Hotels,Restaurants & Hotels,01-03-1988,1988-03-01,1988,3,1
2,8,9,3,55,.0026755827,-.10005002,67,.13432837,.044776119,.82089549,.17910448,Communication,Communication,01-03-1988,1988-03-01,1988,3,1
2,6,110,1,268,.049043056,-.04682273,379,.29023746,.0026385225,.70712399,.29287598,Health,Health,01-03-1988,1988-03-01,1988,3,1
