item_id,description,division_sh,p_rise_10,p_rise_30,p_rise_50,p_rise_70,p_rise_90,p_min,p_max,p_mean,p_med,p_sd,p10_s,p30_s,p50_s,p70_s,p90_s,p10_e,p30_e,p50_e,p70_e,p90_e,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total1,total2,total3,total4,up1_sh,up2_sh,up3_sh,up4_sh,down1_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change1_sh,change2_sh,change3_sh,change4_sh,net1_sh,net2_sh,net3_sh,net4_sh,item,id_count,item_id_raw,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust,observations,name1,name2,name3,name4,name5,weight,coicopname,sex,origin,durability,goods_services,startYear,endYear,division_s
210101,LARGE LOAF-WHITE-SLICED-800G,Food & drink,-.018442605,.1626984,.4510718,.42345285,.64254063,.07,1.4,.56312937,.54000002,.17646977,.40666667,.41999999,.44708332,.51166666,.56416667,.39916667,.48833331,.64875001,.72833335,.92666668,3014,0,0,0,1523,0,0,0,24322,0,0,0,.092052013,,,,-.11569976,,,,28859,0,0,0,.10443883,,,,.05277383,,,,.84278733,,,,.15721266,,,,.051664997,,,,1,1,210101,1,198802,200401,1,1,192,10101,101,222,0,790,,210101,36039,191,466,480,,0G,0,,16200,Food and drink,Food,Bread and cereals,Bread,White sliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods,1988,2004,Food and non-alcoholic beverages
210102,LARGE LOAF-WHITE-UNSLICED-800G,Food & drink,1.0629923,.96282542,.89247334,.96050781,1.4166099,.34999999,3.6900001,.9149313,.83999997,.30934039,.52916664,.56041664,.58124995,.59083331,.61208332,1.0916667,1.1,1.1,1.1583333,1.4791666,4513,266,17,3,2364,157,15,1,37633,3138,480,299,.13069457,.13861798,.28820923,.10611542,-.14278598,-.18415642,-.21342593,-.083333351,44510,3561,512,303,.10139295,.07469812,.033203125,.0099009899,.053111661,.04408874,.029296875,.0033003301,.8454954,.88121313,.9375,.9867987,.15450461,.11878686,.0625,.013201321,.048281286,.03060938,.00390625,.0066006598,2,1,210102,1,198802,202101,1,1,397,10101,101,212,1010103,791,,210102,52400,396,1,106,,0G,0,,33855,Food and drink,Food,Bread and cereals,Bread,White unsliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods,1988,2021,Food and non-alcoholic beverages
210105,LARGE WHOLEMEAL LOAF-UNSLICED,Food & drink,.21131183,.21863793,.32226831,.47043014,.6945715,.30000001,2,.74522442,.75,.14188217,.53041667,.58125001,.60250002,.62,.63708335,.64249998,.70833331,.79666668,.91166669,1.0795833,2584,0,0,0,1474,0,0,0,18136,0,0,0,.088483185,,,,-.10683045,,,,22194,0,0,0,.11642786,,,,.066414349,,,,.8171578,,,,.18284221,,,,.050013512,,,,3,1,210105,1,198802,200301,1,1,180,10101,101,200,0,793,,210105,27161,179,514,530,,ED,0,,10463,Food and drink,Food,Bread and cereals,Bread,Wholemeal unsliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods,1988,2003,Food and non-alcoholic beverages
210106,SIX BREAD ROLLS-WHITE/BROWN,Food & drink,.73893797,.65317911,.58070177,.61237788,1.1357141,.1,5.3400002,.79902679,.69999999,.39893067,.37666667,.4325,.47499999,.51166666,.58333337,.65499997,.71499997,.75083333,.82499999,1.2458333,4345,240,75,17,2724,131,57,40,42515,4075,789,526,.13910615,.13725352,.12198395,.07798133,-.13524789,-.17608498,-.18096103,-.19882248,49584,4446,921,583,.087629072,.053981107,.081433222,.02915952,.054937076,.029464688,.06188925,.068610631,.85743386,.91655421,.85667753,.90222985,.14256614,.083445795,.14332247,.097770154,.032691997,.024516419,.019543972,-.039451111,4,1,210106,1,198802,202101,1,1,397,10101,101,223,1010103,1126,,210106,60141,396,1,91,,WN,0,,39425,Food and drink,Food,Bread and cereals,Bread,Bread rolls,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods,1988,2021,Food and non-alcoholic beverages
210107,"BROWN LOAF,400G,SLICED-GRAN",Food & drink,.23127756,.43899891,.52636927,.6282565,.66257089,.11,1.09,.52304959,.51999998,.10124722,.37833333,.39958334,.41083333,.41583332,.44083333,.46583334,.57499999,.62708336,.67708331,.73291665,2616,0,0,0,1368,0,0,0,19754,0,0,0,.077987403,,,,-.084318474,,,,23738,0,0,0,.11020305,,,,.05762912,,,,.8321678,,,,.16783217,,,,.05257393,,,,5,1,210107,1,198903,200401,1,14,192,10101,101,215,0,216,,210107,29361,178,536,540,,AN,0,,13485,Food and drink,Food,Bread and cereals,Bread,Granary sliced loaf,400,Food and non-alcoholic beverages,Unisex,2,ND,Goods,1989,2004,Food and non-alcoholic beverages
210108,PITTA BREAD,Food & drink,-.0045126309,-.030377639,-.096402891,-.12145747,-.054347813,.19,1.59,.57846904,.55000001,.19979824,.46166667,.50749999,.57916665,.61750001,.72833335,.45958334,.49208334,.52333331,.54250002,.68875003,762,0,0,0,669,0,0,0,11143,0,0,0,.15671493,,,,-.15774982,,,,12574,0,0,0,.060601242,,,,.053205024,,,,.88619375,,,,.11380626,,,,.0073962174,,,,6,1,210108,1,200002,201001,1,145,264,10101,101,158,0,956,,210108,14605,119,722,736,,AD,0,,14605,Food and drink,Food,Bread and cereals,Bread,Pitta bread,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods,2000,2010,Food and non-alcoholic beverages
210109,FRENCH STICK/BAGUETTE,Food & drink,.054761939,.061702147,.055069879,.11676646,.16125153,.23,1,.54244423,.44999999,.18536258,.34999999,.39166665,.47666666,.55666667,.6925,.36916667,.41583332,.50291663,.62166667,.80416667,334,0,0,0,210,0,0,0,4644,0,0,0,.11872309,,,,-.12908995,,,,5188,0,0,0,.064379334,,,,.040478025,,,,.89514261,,,,.10485736,,,,.02390131,,,,7,1,210109,1,200102,200501,1,157,204,10101,101,109,0,569,,210109,5695,47,996,1027,,TE,0,,5695,Food and drink,Food,Bread and cereals,Bread,Baguette,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods,2001,2005,Food and non-alcoholic beverages
210110,LARGE WHOLEMEAL LOAF (SLICED),Food & drink,.049888317,.066921584,.059785698,.077309236,.042408839,.34999999,1.28,.78563082,.75,.1825778,.55958331,.65375,.73874998,.82999998,.98250002,.58749998,.69749999,.78291667,.89416665,1.0241667,170,0,0,0,79,0,0,0,998,0,0,0,.087489285,,,,-.12668589,,,,1247,0,0,0,.13632719,,,,.063352048,,,,.80032074,,,,.19967924,,,,.072975144,,,,8,1,210110,1,200302,200401,1,181,192,10101,101,73,0,792,,210110,1506,11,1183,1243,,D),0,,1506,Food and drink,Food,Bread and cereals,Bread,Wholemeal sliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods,2003,2004,Food and non-alcoholic beverages
210111,WHITE SLICED LOAF BRANDED 750G,Food & drink,.21013507,.40799037,.36748326,.35219163,.4041746,.23,2.79,1.0496614,1.05,.27596483,.61666667,.68833333,.74833333,.8175,.87833333,.74624997,.9691667,1.0233333,1.1054167,1.2333333,2844,416,77,39,1969,248,73,37,20552,4347,976,640,.12361729,.084777541,.096506953,.097151004,-.10979514,-.10240161,-.11198176,-.12916836,25365,5011,1126,716,.11212301,.083017364,.068383656,.054469272,.077626653,.049491119,.064831264,.051675979,.81025034,.86749154,.86678511,.89385474,.18974966,.13250849,.13321492,.10614525,.034496352,.033526246,.0035523921,.0027932934,9,1,210111,1,200402,202101,1,193,397,10101,101,132,1010103,1264,,210111,28681,204,384,403,,0G,0,,26443,Food and drink,Food,Bread and cereals,Bread,"White sliced loaf, branded",750,Food and non-alcoholic beverages,Unisex,2,ND,Goods,2004,2021,Food and non-alcoholic beverages
210112,BROWN SLICED LOAF BRANDED 400G,Food & drink,.047134958,-.011842094,.020689681,.050505042,-.0031814089,.30000001,1.09,.63286501,.66000003,.13840304,.45083332,.63333333,.66458333,.70125002,.78583336,.47208333,.62583333,.67833334,.73666668,.7833333,228,0,0,0,122,0,0,0,1839,0,0,0,.07241296,,,,-.088430591,,,,2189,0,0,0,.10415715,,,,.055733211,,,,.84010965,,,,.15989035,,,,.048423938,,,,10,1,210112,1,200402,200601,1,193,216,10101,101,81,0,217,,210112,2719,23,1128,1151,,0G,0,,2719,Food and drink,Food,Bread and cereals,Bread,"Brown sliced loaf, branded",400,Food and non-alcoholic beverages,Unisex,2,ND,Goods,2004,2006,Food and non-alcoholic beverages
