item_id,description,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total1,total2,total3,total4,up1_sh,up2_sh,up3_sh,up4_sh,down1_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change1_sh,change2_sh,change3_sh,change4_sh,net1_sh,net2_sh,net3_sh,net4_sh,item,id_count,item_id_raw,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,p_min,p_max,p_mean,p_med,p_sd,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust,observations,name1,name2,name3,name4,name5,weight,coicopname,sex,origin,durability,goods_services
210101,LARGE LOAF-WHITE-SLICED-800G,3014,0,0,0,1523,0,0,0,24322,0,0,0,.092052013,,,,-.11569976,,,,28859,0,0,0,.10443883,,,,.05277383,,,,.84278733,,,,.15721266,,,,.051664997,,,,1,1,210101,1,198802,200401,1,1,192,10101,101,222,.07,1.4,.56312937,.54000002,.17646977,0,805,,210101,36039,191,464,479,,0G,0,,16200,Food and drink,Food,Bread and cereals,Bread,White sliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210102,LARGE LOAF-WHITE-UNSLICED-800G,4513,266,18,4,2364,157,16,2,37633,3138,548,367,.13069457,.13861798,.2565603,.096253231,-.14278598,-.18415642,-.17255893,-.046212126,44510,3561,582,373,.10139295,.07469812,.030927835,.010723861,.053111661,.04408874,.027491409,.0053619305,.8454954,.88121313,.94158077,.9839142,.15450461,.11878686,.058419243,.016085792,.048281286,.03060938,.0034364257,.0053619305,2,1,210102,1,198802,202102,1,1,397,10101,101,212,.34999999,3.6900001,.91529971,.83999997,.30941004,1010103,806,,210102,52471,396,1,101,,0G,0,,33855,Food and drink,Food,Bread and cereals,Bread,White unsliced loaf,800,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210105,LARGE WHOLEMEAL LOAF-UNSLICED,2584,0,0,0,1474,0,0,0,18136,0,0,0,.088483185,,,,-.10683045,,,,22194,0,0,0,.11642786,,,,.066414349,,,,.8171578,,,,.18284221,,,,.050013512,,,,3,1,210105,1,198802,200301,1,1,180,10101,101,200,.30000001,2,.74522442,.75,.14188217,0,808,,210105,27161,179,512,530,,ED,0,,10463,Food and drink,Food,Bread and cereals,Bread,Wholemeal unsliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210106,SIX BREAD ROLLS-WHITE/BROWN,4345,240,77,19,2724,131,58,41,42515,4075,894,631,.13910615,.13725352,.12167805,.084856249,-.13524789,-.17608498,-.19040115,-.20975675,49584,4446,1029,691,.087629072,.053981107,.074829929,.027496383,.054937076,.029464688,.056365404,.059334297,.85743386,.91655421,.86880469,.91316932,.14256614,.083445795,.13119534,.086830676,.032691997,.024516419,.018464524,-.031837914,4,1,210106,1,198802,202102,1,1,397,10101,101,223,.1,5.3400002,.79909968,.69999999,.39883256,1010103,1141,,210106,60256,396,1,87,,WN,0,,39425,Food and drink,Food,Bread and cereals,Bread,Bread rolls,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210107,"BROWN LOAF,400G,SLICED-GRAN",2616,0,0,0,1368,0,0,0,19754,0,0,0,.077987403,,,,-.084318474,,,,23738,0,0,0,.11020305,,,,.05762912,,,,.8321678,,,,.16783217,,,,.05257393,,,,5,1,210107,1,198903,200401,1,14,192,10101,101,215,.11,1.09,.52304959,.51999998,.10124722,0,231,,210107,29361,178,536,540,,AN,0,,13485,Food and drink,Food,Bread and cereals,Bread,Granary sliced loaf,400,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210108,PITTA BREAD,762,0,0,0,669,0,0,0,11143,0,0,0,.15671493,,,,-.15774982,,,,12574,0,0,0,.060601242,,,,.053205024,,,,.88619375,,,,.11380626,,,,.0073962174,,,,6,1,210108,1,200002,201001,1,145,264,10101,101,158,.19,1.59,.57846904,.55000001,.19979824,0,971,,210108,14605,119,722,736,,AD,0,,14605,Food and drink,Food,Bread and cereals,Bread,Pitta bread,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210109,FRENCH STICK/BAGUETTE,334,0,0,0,210,0,0,0,4644,0,0,0,.11872309,,,,-.12908995,,,,5188,0,0,0,.064379334,,,,.040478025,,,,.89514261,,,,.10485736,,,,.02390131,,,,7,1,210109,1,200102,200501,1,157,204,10101,101,109,.23,1,.54244423,.44999999,.18536258,0,584,,210109,5695,47,996,1027,,TE,0,,5695,Food and drink,Food,Bread and cereals,Bread,Baguette,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210110,LARGE WHOLEMEAL LOAF (SLICED),170,0,0,0,79,0,0,0,998,0,0,0,.087489285,,,,-.12668589,,,,1247,0,0,0,.13632719,,,,.063352048,,,,.80032074,,,,.19967924,,,,.072975144,,,,8,1,210110,1,200302,200401,1,181,192,10101,101,73,.34999999,1.28,.78563082,.75,.1825778,0,807,,210110,1506,11,1183,1243,,D),0,,1506,Food and drink,Food,Bread and cereals,Bread,Wholemeal sliced loaf,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210111,WHITE SLICED LOAF BRANDED 750G,2844,416,107,69,1969,248,82,46,20552,4347,1054,718,.12361729,.084777541,.097967371,.099145308,-.10979514,-.10240161,-.10575417,-.11845709,25365,5011,1243,833,.11212301,.083017364,.086082056,.082833134,.077626653,.049491119,.06596943,.05522209,.81025034,.86749154,.84794849,.86194479,.18974966,.13250849,.15205148,.13805522,.034496352,.033526246,.020112626,.027611043,9,1,210111,1,200402,202102,1,193,397,10101,101,132,.23,2.79,1.0496017,1.05,.27572712,1010103,1279,,210111,28799,204,384,403,,0G,0,,26443,Food and drink,Food,Bread and cereals,Bread,"White sliced loaf, branded",750,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210112,BROWN SLICED LOAF BRANDED 400G,228,0,0,0,122,0,0,0,1839,0,0,0,.07241296,,,,-.088430591,,,,2189,0,0,0,.10415715,,,,.055733211,,,,.84010965,,,,.15989035,,,,.048423938,,,,10,1,210112,1,200402,200601,1,193,216,10101,101,81,.30000001,1.09,.63286501,.66000003,.13840304,0,232,,210112,2719,23,1128,1151,,0G,0,,2719,Food and drink,Food,Bread and cereals,Bread,"Brown sliced loaf, branded",400,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210113,WHOLEMEAL SLICED LOAF BRANDED,2939,461,109,69,2165,303,98,66,19241,4096,974,664,.14214876,.095589057,.081956267,.068542548,-.1219755,-.10590985,-.079401039,-.080199145,24345,4860,1181,799,.12072294,.094855964,.092294663,.086357944,.088929966,.06234568,.082980528,.082603253,.7903471,.84279835,.82472479,.83103877,.2096529,.15720165,.17527519,.1689612,.031792976,.032510284,.0093141347,.0037546903,11,1,210113,1,200402,202102,1,193,397,10101,101,132,.36000001,2.79,1.0888062,1.09,.25026777,1010103,1285,,210113,27968,204,384,405,,ED,0,,25696,Food and drink,Food,Bread and cereals,Bread,"Wholemeal sliced loaf, branded",0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210114,CHILLED GARLIC BREAD,2688,624,137,68,2348,315,144,110,20333,6985,1520,1024,.33810741,.35809553,.27872208,.25706616,-.25905892,-.29648161,-.1964899,-.19563492,25369,7924,1801,1202,.10595609,.078748107,.076068848,.056572378,.092553906,.039752651,.079955578,.09151414,.80149001,.88149923,.84397554,.85191345,.19850999,.11850075,.15602443,.14808652,.013402179,.038995456,-.0038867295,-.034941763,12,1,210114,1,201002,202102,1,265,397,10101,101,117,.27000001,2.75,.85402262,.80000001,.38905704,1010103,333,,210114,29205,132,657,661,,AD,0,,25571,Food and drink,Food,Bread and cereals,Bread,Garlic bread,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
